Mg25_ppm,P31_ppm,Sr88_ppm,Y89_ppm,Ba137_ppm,Pb208_ppm,U238_ppm,dft,Elapsed_Time,Age,mg_uncert_up,mg_uncert_low
860.7638607,93.51524643,19.79448737,0.322341697,52.34637255,3.977956294,0.333795422,0.0035855,131.7927501,63704.85715,868.8638607,852.6638607
813.2288403,100.9933872,15.9301052,0.146535319,7.768687701,3.702300335,0.642767819,0.016498923,138.2494616,63705.48869,821.3288403,805.1288403
746.5350842,74.03665828,19.42890854,0.0466928,0.05,0.84390667,0.326210076,0.037008429,148.5042144,63706.49199,754.6350842,738.4350842
721.5245066,57.57944462,24.4472941,0.059813409,5.080777329,0.178085398,0.046641593,0.057518,158.7590001,63707.49562,729.6245066,713.4245066
714.4396091,67.0949952,25.8402404,0.087159166,3.918555981,0.826427104,0.025,0.078027429,169.0137144,63708.49962,722.5396091,706.3396091
678.5453926,75.44895004,28.1026912,0.083719361,2.019290636,0.703731273,0.043310383,0.098536923,179.2684616,63709.50398,686.6453926,670.4453926
632.4371725,68.75868685,35.8254599,0.070309162,3.266876647,1.046847797,0.73767773,0.119046429,189.5232144,63710.50865,640.5371725,624.3371725
578.961344,51.52044116,33.43125443,0.032156632,3.108406419,1.315767981,1.208273219,0.139556,199.7780001,63711.5137,587.061344,570.861344
566.2134447,42.00004318,32.26955821,0.060103438,4.206458443,1.641814302,1.189447411,0.159305846,209.6529232,63712.48182,574.3134447,558.1134447
642.3095783,55.90241919,30.08021516,0.080328791,6.196149942,1.507520114,0.605831587,0.179815286,219.907643,63713.48754,650.4095783,634.2095783
750.1142668,69.97896677,25.4208428,0.089004354,5.874465944,1.176276748,0.040864555,0.200324923,230.1624616,63714.4936,758.2142668,742.0142668
816.4569811,81.4031285,28.54595069,0.082751226,5.244877506,0.848861668,0.246484409,0.220834429,240.4172144,63715.50002,824.5569811,808.3569811
784.0965107,83.74560633,20.80968686,0.044570927,3.017054324,0.26563473,0.07159884,0.241344,250.6720001,63716.50676,792.1965107,775.9965107
723.2351416,85.09575766,19.48986713,0.060433235,3.211618886,0.248696514,0.097233679,0.261853429,260.9267144,63717.51385,731.3351416,715.1351416
760.0317052,86.37364546,23.02166983,0.088691516,4.552631586,0.522402871,0.110379,0.282362923,271.1814616,63718.52129,768.1317052,751.9317052
884.7404245,89.18434883,27.6946727,0.135867677,5.301895558,0.813017619,0.123620263,0.302112769,281.0563847,63719.49174,892.8404245,876.6404245
982.401755,71.81591271,28.05415993,0.153496816,5.747767768,0.948901673,0.136930037,0.322622429,291.3112144,63720.49986,990.501755,974.301755
1008.272922,91.71795221,23.76613802,0.198873039,4.821136383,0.903553306,0.138452675,0.343131846,301.5659232,63721.50829,1016.372922,1000.172922
1007.075608,127.1491861,23.1250543,0.28908439,5.264099606,0.793701123,0.090607526,0.362881692,311.4408462,63722.47972,1015.175608,998.9756079
1049.852745,149.0751086,29.20296283,0.402915922,7.103114067,0.786940866,0.159175906,0.383391143,321.6955715,63723.48886,1057.952745,1041.752745
1122.085873,143.8604668,31.60837508,0.456931044,7.840588897,0.819880518,0.537679495,0.403900769,331.9503847,63724.49828,1130.185873,1113.985873
1215.911762,123.8602177,34.46369327,0.429100017,7.561317526,0.725531898,0.716600272,0.424410286,342.2051429,63725.50808,1224.011762,1207.811762
1289.364529,121.2736426,34.5983813,0.354718918,6.867450124,0.496771304,0.590119107,0.444919692,352.4598462,63726.51822,1297.464529,1281.264529
1260.719346,114.6625998,28.49900486,0.270749811,6.304923737,0.435227574,0.211532103,0.464669539,362.3347693,63727.49128,1268.819346,1252.619346
1142.702064,112.8648865,21.64535995,0.199041587,5.48095826,0.400804353,0.025,0.485179143,372.5895715,63728.50205,1150.802064,1134.602064
1022.942577,117.0596011,27.12366802,0.158852349,5.0773077,0.557158195,0.17364113,0.505688616,382.8443078,63729.51317,1031.042577,1014.842577
957.8463498,133.7125977,37.92262686,0.218335087,5.117831112,0.381673307,0.025,0.525438462,392.7192309,63730.48717,965.9463498,949.7463498
952.9460863,140.6230833,40.03133415,0.273757181,6.168318418,0.575508461,0.114208769,0.545948,402.9740001,63731.499,961.0460863,944.8460863
993.2112563,134.2284261,32.79128227,0.260950504,7.660258075,1.074154427,0.791694902,0.566457539,413.2287693,63732.51109,1001.311256,985.1112563
1016.542433,116.5386114,22.18585318,0.142827443,6.830535037,1.250001655,1.053745494,0.586207385,423.1036924,63733.48605,1024.642433,1008.442433
1047.181405,99.42056168,23.0224431,0.083145951,4.478502089,0.918406565,0.786245184,0.606716857,433.3584287,63734.49882,1055.281405,1039.081405
